Symbol,ISIN,Company
CHALET,INE427F01016,Chalet Hotels Limited
XELPMOC,INE01P501012,Xelpmoc Design And Tech Limited
CESCVENT,INE425Y01011,CESC Ventures Limited
SPENCERS,INE020801028,Spencer's Retail Limited
SAGARDEEP,INE976T01013,Sagardeep Alloys Limited
DALBHARAT,INE00R701025,Odisha Cement Limited
TREJHARA,INE00CA01015,TREJHARA SOLUTIONS LIMITED
NILASPACES,INE00S901012,Nila Spaces Limited
TECHNOE,INE285K01026,Techno Electric & Engineering Company Limited
ADANIGAS,INE399L01023,Adani Gas Limited
GRSE,INE382Z01011,Garden Reach Shipbuilders & Engineers Limited
AAVAS,INE216P01012,Aavas Financiers Limited
IRCON,INE962Y01013,Ircon International Limited
AIONJSW,INE743C01021,Monnet Ispat & Energy Limited
SIGIND,INE529F01035,Signet Industries Limited
CREDITACC,INE741K01010,CREDITACCESS GRAMEEN LIMITED
HDFCAMC,INE127D01025,HDFC Asset Management Company Limited
TCNSBRANDS,INE778U01029,TCNS Clothing Co. Limited
HBSL,INE550B01022,HB Stockholdings Limited
VARROC,INE665L01035,Varroc Engineering Limited
FINEORG,INE686Y01026,Fine Organic Industries Limited
RITES,INE320J01015,RITES Limited
TALWGYM,INE627Z01019,Talwalkars Healthclubs Limited
GAYAHWS,INE287Z01012,Gayatri Highways Limited
SOLARA,INE624Z01016,Solara Active Pharma Sciences Limited
ADANIGREEN,INE364U01010,Adani Green Energy Limited
BOROSIL,INE666D01022,Borosil Glass Works Limited
INDOSTAR,INE896L01010,IndoStar Capital Finance Limited
ORIENTELEC,INE142Z01019,Orient Electric Limited
HITECH,INE106T01017,Hi-Tech Pipes Limited
CHEMFAB,INE783X01023,Chemfab Alkalis Limited
LEMONTREE,INE970X01018,Lemon Tree Hotels Limited
CENTRUM,INE660C01027,Centrum Capital Limited
MIDHANI,INE099Z01011,Mishra Dhatu Nigam Limited
ISEC,INE763G01038,ICICI Securities Limited
KARDA,INE278R01018,Karda Constructions Limited
SANDHAR,INE278H01035,Sandhar Technologies Limited
HAL,INE066F01012,Hindustan Aeronautics Limited
BANDHANBNK,INE545U01014,Bandhan Bank Limited
SUNDARMHLD,INE202Z01029,Sundaram Finance Holdings Limited
BDL,INE171Z01018,Bharat Dynamics Limited
